algorithm,dataset,extra_final_temperature,extra_generations,extra_iterations,extra_solver_wall_time_s,hard,seed,soft,status,wall_time_ms
SA,medium,0.0009997343363010176,,9303,,0,2,0.9914529914529915,OK,435.9497270002066
SA,medium,0.0009997343363010176,,9285,,0,3,0.7991452991452991,OK,397.45815299966125
SA,medium,0.0009997343363010176,,9301,,0,4,0.9914529914529915,OK,388.9555189998646
SA,medium,0.0009997343363010176,,9293,,0,5,0.7991452991452991,OK,373.5853200000747
SA,medium,0.000995576383331849,,1088,,0,1,6.837606837606837,OK,45.32530999995288
SA,medium,0.000995576383331849,,1090,,0,2,6.837606837606837,OK,49.01290100042388
SA,medium,0.000995576383331849,,1085,,0,3,7.427350427350428,OK,48.485232000075484
SA,medium,0.000995576383331849,,1093,,0,4,6.068376068376069,OK,48.19477299997743
SA,medium,0.000995576383331849,,1086,,0,5,6.081196581196581,OK,49.540605999936815
SA,medium,0.0009977031292319378,,2183,,0,1,3.3376068376068373,OK,88.84575899992342
SA,medium,0.0009977031292319378,,2181,,0,2,3.6324786324786325,OK,90.2469640000163
SA,medium,0.0009977031292319378,,2173,,0,3,1.9529914529914532,OK,94.47012099963104
SA,medium,0.0009977031292319378,,2178,,0,4,3.0555555555555554,OK,94.13772900006734
SA,medium,0.0009977031292319378,,2179,,0,5,4.452991452991453,OK,89.28854199984926
SA,medium,0.0009993673768947896,,10920,,0,1,1.1837606837606838,OK,440.97658800001227
SA,medium,0.0009993673768947896,,10923,,0,2,0.7991452991452991,OK,457.24644699976125
SA,medium,0.0009993673768947896,,10922,,0,3,0.9914529914529915,OK,464.4149969999489
SA,medium,0.0009993673768947896,,10927,,0,4,0.7991452991452991,OK,456.83252800017726
SA,medium,0.0009993673768947896,,10915,,0,5,0.7991452991452991,OK,460.00950400002694
SA,medium,0.0009949274923647259,,1231,,0,1,5.452991452991453,OK,50.80526399979135
SA,medium,0.0009949274923647259,,1228,,0,2,6.555555555555555,OK,50.18297300011909
SA,medium,0.0009949274923647259,,1223,,0,3,6.3247863247863245,OK,52.042423999864695
SA,medium,0.0009949274923647259,,1228,,0,4,5.02991452991453,OK,53.45765499987465
SA,medium,0.0009949274923647259,,1226,,0,5,6.311965811965813,OK,54.64494800025932
SA,medium,0.0009955307801951775,,2461,,0,1,4.299145299145299,OK,106.3698969996949
SA,medium,0.0009955307801951775,,2466,,0,2,1.9529914529914532,OK,102.85481199980495
SA,medium,0.0009955307801951775,,2454,,0,3,4.068376068376068,OK,108.4022370000639
SA,medium,0.0009955307801951775,,2459,,0,4,2.3376068376068377,OK,106.68889099997614
SA,medium,0.0009955307801951775,,2458,,0,5,2.914529914529915,OK,110.25183399988236
SA,medium,0.0009999685763047894,,12307,,0,1,0.7991452991452991,OK,508.1516990003365
SA,medium,0.0009999685763047894,,12322,,0,2,0.7991452991452991,OK,508.11057400005666
SA,medium,0.0009999685763047894,,12321,,0,3,0.7991452991452991,OK,546.0186990003422
SA,medium,0.0009999685763047894,,12326,,0,4,0.9914529914529915,OK,558.0678820001594
SA,medium,0.0009999685763047894,,12318,,0,5,0.7991452991452991,OK,521.7928039996877
CP-SAT,medium,,,,0.23732491300000003,0,1,0.7991452991452991,OPTIMAL,252.18336799980534
CP-SAT,medium,,,,0.183252368,0,2,0.7991452991452991,OPTIMAL,187.83560300016688
CP-SAT,medium,,,,0.197179661,0,3,0.7991452991452991,OPTIMAL,202.01259199984634
CP-SAT,medium,,,,0.18731255700000002,0,4,0.7991452991452991,OPTIMAL,191.81495600014387
CP-SAT,medium,,,,0.22014486000000003,0,5,0.7991452991452991,OPTIMAL,224.7389240001212
CP-SAT,medium,,,,0.19906163300000002,0,1,0.7991452991452991,OPTIMAL,205.27008499993826
CP-SAT,medium,,,,0.192048465,0,2,0.7991452991452991,OPTIMAL,196.4374350000071
CP-SAT,medium,,,,0.21520466700000002,0,3,0.7991452991452991,OPTIMAL,219.66734999978144
CP-SAT,medium,,,,0.20175799200000002,0,4,0.7991452991452991,OPTIMAL,206.65002699979595
CP-SAT,medium,,,,0.21362831100000002,0,5,0.7991452991452991,OPTIMAL,218.44044299996312
CP-SAT,medium,,,,0.209147733,0,1,0.7991452991452991,OPTIMAL,213.74717399976362
CP-SAT,medium,,,,0.19888354200000002,0,2,0.7991452991452991,OPTIMAL,203.7042689998998
CP-SAT,medium,,,,0.198439732,0,3,0.7991452991452991,OPTIMAL,202.91179500009093
CP-SAT,medium,,,,0.185523027,0,4,0.7991452991452991,OPTIMAL,190.4169039999033
CP-SAT,medium,,,,0.21061516000000002,0,5,0.7991452991452991,OPTIMAL,215.4056870003842
