algorithm,dataset,extra_final_temperature,extra_generations,extra_iterations,extra_solver_wall_time_s,hard,seed,soft,status,wall_time_ms
SA,tiny_easy,0.0009977031292319378,,2223,,0,8,1.271111111111111,OK,52.154225999402115
SA,tiny_easy,0.0009977031292319378,,2219,,0,9,0.16,OK,53.37425800098572
SA,tiny_easy,0.0009977031292319378,,2238,,0,10,0.16,OK,53.65502499989816
SA,small_tight,0.0009977031292319378,,2994,,0,1,5.614545454545454,OK,59.959469001114485
SA,small_tight,0.0009977031292319378,,2982,,0,2,5.614545454545454,OK,59.92238799990446
SA,small_tight,0.0009977031292319378,,3011,,0,3,5.614545454545454,OK,57.531357000698335
SA,small_tight,0.0009977031292319378,,2998,,0,4,5.614545454545454,OK,59.45567100025073
SA,small_tight,0.0009977031292319378,,3006,,0,5,5.614545454545454,OK,62.01944499844103
SA,small_tight,0.0009977031292319378,,2941,,0,6,5.614545454545454,OK,58.58778000038001
SA,small_tight,0.0009977031292319378,,2933,,0,7,5.614545454545454,OK,59.321356000509695
SA,small_tight,0.0009977031292319378,,2962,,0,8,5.614545454545454,OK,57.79304600036994
SA,small_tight,0.0009977031292319378,,2958,,0,9,5.614545454545454,OK,60.1614890001656
SA,small_tight,0.0009977031292319378,,3046,,0,10,5.614545454545454,OK,57.41331200079003
SA,medium,0.0009977031292319378,,2183,,0,1,3.3376068376068373,OK,95.22134700091556
SA,medium,0.0009977031292319378,,2181,,0,2,3.6324786324786325,OK,92.04546000000846
SA,medium,0.0009977031292319378,,2173,,0,3,1.9529914529914532,OK,95.73752400137892
SA,medium,0.0009977031292319378,,2178,,0,4,3.0555555555555554,OK,95.42903399960778
SA,medium,0.0009977031292319378,,2179,,0,5,4.452991452991453,OK,96.61566899922036
SA,medium,0.0009977031292319378,,2183,,0,6,2.286324786324786,OK,98.63325399965106
SA,medium,0.0009977031292319378,,2178,,0,7,3.106837606837607,OK,92.6189540004998
SA,medium,0.0009977031292319378,,2179,,0,8,2.52991452991453,OK,93.420312001399
SA,medium,0.0009977031292319378,,2187,,0,9,2.952991452991453,OK,90.2491730012116
SA,medium,0.0009977031292319378,,2179,,0,10,2.52991452991453,OK,92.07381899977918
SA,large_stress,0.0009977031292319378,,2169,,24,1,3.9814814814814814,OK,143.73293499920692
SA,large_stress,0.0009977031292319378,,2170,,24,2,3.425925925925926,OK,145.17464300115535
SA,large_stress,0.0009977031292319378,,2169,,24,3,3.9814814814814814,OK,143.2986929994513
SA,large_stress,0.0009977031292319378,,2170,,24,4,2.962962962962963,OK,150.4229900001519
SA,large_stress,0.0009977031292319378,,2164,,24,5,4.351851851851852,OK,143.538542000897
SA,large_stress,0.0009977031292319378,,2167,,24,6,4.351851851851852,OK,143.1184459997894
SA,large_stress,0.0009977031292319378,,2174,,24,7,3.5185185185185186,OK,144.49460800096858
SA,large_stress,0.0009977031292319378,,2174,,24,8,3.3333333333333335,OK,146.78810799887287
SA,large_stress,0.0009977031292319378,,2175,,24,9,2.685185185185185,OK,144.862209999701
SA,large_stress,0.0009977031292319378,,2167,,24,10,4.166666666666667,OK,141.80406800005585
CP-SAT,tiny_easy,,,,0.09607865900000001,0,1,0.16000000000000006,OPTIMAL,104.83362299964938
CP-SAT,tiny_easy,,,,0.042966816000000005,0,2,0.16000000000000006,OPTIMAL,44.964747999983956
CP-SAT,tiny_easy,,,,0.041906051,0,3,0.16000000000000006,OPTIMAL,43.98326699993049
CP-SAT,tiny_easy,,,,0.04538153,0,4,0.16000000000000006,OPTIMAL,47.43947199858667
CP-SAT,tiny_easy,,,,0.043081839000000004,0,5,0.16000000000000006,OPTIMAL,45.19188099948224
CP-SAT,tiny_easy,,,,0.038124662000000004,0,6,0.16000000000000006,OPTIMAL,40.25508499944408
CP-SAT,tiny_easy,,,,0.039693021,0,7,0.16000000000000006,OPTIMAL,41.8269469992083
CP-SAT,tiny_easy,,,,0.052982814,0,8,0.16000000000000006,OPTIMAL,54.980154000077164
CP-SAT,tiny_easy,,,,0.042399818000000006,0,9,0.16000000000000006,OPTIMAL,44.42196600030002
CP-SAT,tiny_easy,,,,0.041277853,0,10,0.16000000000000006,OPTIMAL,43.74581599950034
CP-SAT,small_tight,,,,0.046805056000000005,0,1,5.614545454545454,OPTIMAL,49.01369599974714
